ArticleId,Text,Category
1,https://berkeley.zoom.us/j/41810383029,zoomlink

2,https://berkeley.zoom.us/j/23269085011,zoomlink

3,https://berkeley.zoom.us/j/47580519432,zoomlink

4,https://berkeley.zoom.us/j/83750991624,zoomlink

5,https://berkeley.zoom.us/j/83562172419,zoomlink

6,https://berkeley.zoom.us/j/11597374826,zoomlink

7,https://berkeley.zoom.us/j/23136749058,zoomlink

8,https://berkeley.zoom.us/j/05437112866,zoomlink

9,https://berkeley.zoom.us/j/91301078356,zoomlink

10,https://berkeley.zoom.us/j/75320904571,zoomlink

11,https://berkeley.zoom.us/j/71435212960,zoomlink

12,https://berkeley.zoom.us/j/23970149102,zoomlink

13,https://berkeley.zoom.us/j/93725358081,zoomlink

14,https://berkeley.zoom.us/j/75004362123,zoomlink

15,https://berkeley.zoom.us/j/01497075886,zoomlink

16,https://berkeley.zoom.us/j/60185378249,zoomlink

17,https://berkeley.zoom.us/j/50126843537,zoomlink

18,https://berkeley.zoom.us/j/68934825254,zoomlink

19,https://berkeley.zoom.us/j/96301505717,zoomlink

20,https://berkeley.zoom.us/j/26179738532,zoomlink

21,https://berkeley.zoom.us/j/17632428897,zoomlink

22,https://berkeley.zoom.us/j/57634368041,zoomlink

23,https://berkeley.zoom.us/j/69423405019,zoomlink

24,https://berkeley.zoom.us/j/13587799600,zoomlink

25,https://berkeley.zoom.us/j/34642702950,zoomlink

26,https://berkeley.zoom.us/j/25290176807,zoomlink

27,https://berkeley.zoom.us/j/81352390047,zoomlink

28,https://berkeley.zoom.us/j/68193057212,zoomlink

29,https://berkeley.zoom.us/j/81746395650,zoomlink

30,https://berkeley.zoom.us/j/59828645374,zoomlink

31,https://berkeley.zoom.us/j/09891267527,zoomlink

32,https://berkeley.zoom.us/j/54692677508,zoomlink

33,https://berkeley.zoom.us/j/01785169702,zoomlink

34,https://berkeley.zoom.us/j/95386921027,zoomlink

